mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
170164,Suresh Channabasappa Angadi,Elected,23-05-2019,23-09-2020,Fourth Term,Belgaum,Karnataka,Bharatiya Janata Party,Male,Graduate,"B. Com, LL.B. (Spl.); Educated at S.S. S. Samiti College of Commerce, Belgaum and; R.L. Law College, Belgaum",68,N/A,N/A,N/A,N/A,"This MP was a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 11-08-2023.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lok Sabha
170141,Jugal Kishore,Elected,23-05-2019,In Office,Second Term,Jammu,Jammu and Kashmir,Bharatiya Janata Party,Male,Matric,Matriculation,60,53,2,288,0.862348178, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,42.4,0.6,93,0.714979757,Lok Sabha
170252,Unmesh Bhaiyyasaheb Patil,Elected,23-05-2019,In Office,First Term,Jalgaon,Maharashtra,Bharatiya Janata Party,Male,Graduate,"Diploma in Chemical Engineering, B.E. in Chemical Engineering and E-Commerce from Mumbai",45,128,8,419,0.769230769, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,52.74800161,2.884415584,352.4556898,0.743384507,Lok Sabha
170272,Girish Bhalchandra Bapat,Elected,23-05-2019,29-03-2023,First Term,Pune,Maharashtra,Bharatiya Janata Party,Male,Graduate,"B.Com Educated at B.M.C.C. College of Commerce, Pune",73,27,1,367,0.681415929, Data corresponds to the period from 01-06-2019 to 11-08-2023.,41.44616422,1.224559891,173.4916736,0.788702577,51.17878788,2.360606061,321.9656566,0.743384507,Lok Sabha
170328,Santokh Singh Chaudhary,Elected,23-05-2019,14-01-2023,Second Term,Jalandhar,Punjab,Indian National Congress,Male,Graduate,"B.A., L.L.B.",77,19,2,45,0.819512195, Data corresponds to the period from 01-06-2019 to 11-08-2023.,39.74637126,1.224559891,155.6034748,0.788702577,32.84090909,1.136363636,82.14393939,0.703872954,Lok Sabha
170351,Om Birla,Elected,23-05-2019,In Office,Second Term,Kota,Rajasthan,Bharatiya Janata Party,Male,Post Graduate,M.Com,60,N/A,N/A,N/A,N/A,"As a Speaker, this MP does not sign the attendance register and participate in debates and questions. Data corresponds to the period from 01-06-2019 to 11-08-2023.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lok Sabha
170372,H. Vasanthakumar,Elected,23-05-2019,28-08-2020,First Term,Kanniyakumari,Tamil Nadu,Indian National Congress,Male,Post Graduate,Master of Arts (Tamil),73,40,2,104,0.875, Data corresponds to the period from 01-06-2019 to 11-08-2023.,16.50967727,0.294307337,49.1508735,0.788702577,18.94197031,0.184210526,56.13967611,0.74654051,Lok Sabha
170411,G. Kishan Reddy,Elected,23-05-2019,In Office,First Term,Secunderabad,Telangana,Bharatiya Janata Party,Male,Diploma Course,"Diploma in Tool Engineering, Educated at Central Institute of Tool Engineering , Balanagar, Hyderabad, Telangana",63,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 11-08-2023.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lok Sabha
170400,Asaduddin Owaisi,Elected,23-05-2019,In Office,Fourth Term,Hyderabad,Telangana,All India Majlis-E-Ittehadul Muslimeen,Male,Graduate,"LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",54,52,3,366,0.696356275, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,22.3125,0.375,205.25,0.710779352,Lok Sabha
170399,Gaddam Ranjith Reddy,Elected,23-05-2019,In Office,First Term,Chelvella,Telangana,Telangana Rashtra Samithi,Male,Post Graduate,"Master in Veterinary Science (MVSc)
Educated at AG Ranga Agricultural University, Rajendra Nagar, Hyderabad, Telangana ",58,36,3,356,0.744939271, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,22.3125,0.375,205.25,0.710779352,Lok Sabha
